Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
16/10/23,18.2,21.4,14.3,61.3,79,43,1015.1,1019.8,1008.4,0,20,NNW,61.2
17/10/23,15.3,17.2,12.8,79,91,63,1018,1020.5,1015.9,2.8,4.7,ENE,20.9
18/10/23,15.4,17.9,13.1,84.7,92,74,1017,1017.8,1015.7,1.6,1.2,ENE,11.3
19/10/23,17.8,21.8,14.7,80.7,90,72,1015.2,1017.1,1013,1.8,2.8,ESE,24.1
20/10/23,20,23.2,16.8,83.2,92,74,1012.5,1013.8,1011.4,0,5.3,SW,17.7
21/10/23,19.7,23.6,16,88,93,77,1014.8,1016,1013.6,0,3,SSW,14.5
22/10/23,20.9,24,18.5,87.9,92,80,1015.4,1016.7,1013.7,0,3.3,SW,14.5
23/10/23,20,23.3,18,88.3,93,80,1015.8,1017.3,1014.6,0.2,3.2,ENE,12.9
24/10/23,19.6,24.6,16.4,85.3,94,62,1014.6,1017.1,1011.7,0.2,2.8,SSW,14.5
25/10/23,19.9,22.1,16.3,86.3,91,77,1009.6,1012,1007.4,0,4.3,ENE,24.1
26/10/23,20.3,25.3,17.7,80.9,93,58,1007.1,1009.9,1005.3,5.4,4.9,SE,38.6
27/10/23,20.6,25.4,15.8,78.4,91,64,1005.5,1007,1004,0,3,SE,16.1
28/10/23,22.3,26.6,18.5,75.6,88,57,1008.1,1011.9,1005.6,0,2,N,12.9
29/10/23,20.7,25.8,15.9,70.8,90,44,1015,1018,1011.9,0,5.9,W,22.5
30/10/23,18.6,24.1,14.6,75.5,86,63,1017.9,1019.5,1016.5,0,2.1,SSW,11.3
31/10/23,18.4,22.3,13.3,82.8,92,63,1014.6,1017.3,1011.8,0,3.3,SW,24.1
1/11/23,19.7,24.1,16.2,80.8,91,69,1011.8,1013.7,1010,0,4.1,SSW,20.9
2/11/23,18.8,22.8,15.9,76.1,91,57,1008.1,1010.2,1006.5,1.4,3.4,SSW,19.3
3/11/23,20.1,23.4,15.6,74,89,59,1003.7,1007.1,1000.2,0,5.4,ESE,37
4/11/23,17.8,20.3,13.8,78.5,92,63,1001.2,1006.6,996.3,8.8,9,ENE,69.2
5/11/23,18.6,24.5,12.9,67,79,45,1006,1008.3,1004.3,0,4.1,SE,20.9
6/11/23,20.3,26,16.7,70.8,85,50,1012.3,1016.9,1006,0,3,ENE,12.9
7/11/23,18,23.6,14.1,77.8,91,49,1018.8,1020.6,1017,0,2.6,SSW,12.9
8/11/23,17.5,20.8,14.7,83.3,92,72,1016,1017.9,1013.9,1.4,10,W,46.7
9/11/23,15.9,19.8,13,68.4,80,57,1019.4,1020.5,1017.2,0,12.6,NNW,45.1
10/11/23,15.1,17.7,12,81.8,91,69,1014.9,1019.4,1009.2,2.6,3.7,ESE,29
11/11/23,16.1,19.9,13,77,94,58,1007.3,1010.2,1004.9,6.2,9.4,SW,37
12/11/23,15.6,20,11.4,70.2,84,59,1011.3,1012.7,1009.9,0,2.9,ENE,19.3
13/11/23,15.9,20.1,12.4,70.8,89,51,1014.1,1017.7,1010.8,1.2,12.8,WNW,38.6
14/11/23,15.2,19.8,11.6,83.1,92,70,1016.2,1018.7,1012.9,0,3.6,SW,14.5
15/11/23,15.3,18,12.4,85.2,94,71,1011.4,1015.3,1008.5,0.2,10,NNW,56.3
16/11/23,14.7,18.4,10.7,64.3,82,50,1018.3,1020,1015.1,0,19.8,NW,62.8
17/11/23,13.8,16.9,10.4,76.4,86,67,1011.2,1017.9,1004.9,0.8,7,W,46.7
18/11/23,10.9,13.2,9.3,65.4,85,54,1009.9,1013.9,1005.1,2.8,48,NW,90.1
19/11/23,10.6,12.8,8.6,57.6,67,45,1016,1017.1,1013.5,0,29.5,NNW,69.2
20/11/23,12.7,17.7,9.2,60.2,78,47,1014.2,1016,1012.3,0,7.6,WNW,32.2
21/11/23,12.4,15.9,8.2,76.6,86,62,1012.3,1014.5,1009.2,0,1.2,E,11.3
22/11/23,13.5,14.7,12.1,92.1,94,86,1011.4,1015.5,1008.6,4.6,2.9,W,14.5
23/11/23,15,16.9,13.9,92,94,87,1017.2,1019.2,1014.4,2.6,2.5,SE,17.7
24/11/23,14.9,16.7,12.5,86.3,93,76,1005.2,1014.2,994.8,0,3.8,ESE,17.7
25/11/23,12.9,16.6,5.6,79.1,90,71,987,994.6,981.5,5.6,17.4,ESE,75.6
26/11/23,6.9,8.1,5.9,63.9,73,55,1004.6,1016,987.1,0,39.5,NW,80.5
27/11/23,6.8,9.8,4.7,54.5,73,37,1017.3,1019.6,1013.3,0,10.8,NNW,38.6
28/11/23,8.2,11.1,6,82.2,89,70,1003.5,1013.4,997.4,0,4.3,W,17.7
29/11/23,12.7,17.4,9.2,82.6,91,70,1005.1,1011.8,999.6,0.6,4.8,WNW,24.1
30/11/23,11.4,15.2,7.6,81.6,90,57,1015.3,1017.2,1012,0.2,2.2,ESE,20.9
1/12/23,12.8,16.2,9.8,88.4,92,76,1014.1,1015.7,1011.9,0,3.1,W,14.5
2/12/23,16.2,20.1,12.2,75.1,92,55,1009.2,1012.3,1007.5,0,6,ESE,33.8
3/12/23,14.5,18.7,10.9,81,90,62,1011,1015.6,1007.8,0,9.4,WNW,37
4/12/23,9.9,11.6,7.8,74.5,80,71,1020.2,1022.4,1015.6,0,19,NW,45.1
5/12/23,10.1,12.1,8.8,86.5,92,80,1016.6,1020.9,1010.9,2,6.5,WSW,20.9
6/12/23,10.8,12.6,9.6,89.6,93,85,1009.8,1011.8,1008.4,6.6,2.8,ENE,24.1
7/12/23,10,13.9,6.4,85.5,92,77,1012.3,1014.8,1010.8,2.8,13.1,NNW,53.1
8/12/23,7.6,10.1,6,72.3,85,64,1015.1,1016.1,1014,1,24.3,NNW,45.1
9/12/23,7.1,11.2,4.8,73.3,85,60,1017,1018.6,1015.6,0,10.7,WNW,29
10/12/23,8.2,11.3,4.1,82.5,91,70,1016,1017.6,1013.6,0,5.4,W,22.5
11/12/23,9.3,13.3,6.9,74.7,84,64,1016,1017.9,1014.5,0,9.3,W,25.7
12/12/23,9.6,14.3,6,79.5,89,61,1014.7,1015.8,1013.8,0,3.2,ENE,14.5
13/12/23,9.2,10.8,6.9,87.7,92,80,1012.3,1015.6,1009.2,0,2.9,W,14.5
14/12/23,11.2,14.3,8.1,91.1,94,86,1008.4,1010.2,1006.7,0.2,3.1,E,29
15/12/23,9.7,12.3,7.2,83.8,91,78,1015.4,1019.1,1010.2,8.4,24,NNW,43.5
16/12/23,7.3,7.9,6.7,86.6,91,80,1027.3,1035.1,1019.2,3.2,20.2,NNW,40.2
17/12/23,7,9.6,4.8,74.2,80,66,1037.3,1039.6,1035.2,0.2,17.1,NNW,32.2
18/12/23,7.9,11.9,4.2,70.3,82,58,1032.1,1036,1028.5,0,13.7,WNW,29
19/12/23,9.4,14.2,6.3,74.8,86,58,1024.6,1028.6,1020,0,5.1,ESE,20.9
20/12/23,8.7,11.9,4.8,87.3,93,79,1014.2,1020,1009.9,0,2.3,SE,14.5
21/12/23,9.4,12.8,5.4,73.7,94,57,1006.8,1010.2,1002.3,0.2,13.5,NW,37
22/12/23,8.7,13.2,5.7,77.1,84,70,1001.3,1006.2,997.5,0.8,8.7,NNW,48.3
23/12/23,10.7,17.3,4.9,66.4,81,44,1006.3,1008.9,1004.3,0,3.3,ESE,16.1
24/12/23,12.1,16.7,8.5,69.6,84,54,1013.2,1016,1008.9,0,2.3,E,14.5
25/12/23,10.3,16.4,6.6,78.8,89,60,1016.4,1018.3,1015,0,2.4,SE,9.7
26/12/23,10.7,14.8,6.3,84.4,93,72,1019.2,1021,1018,0,2.1,SE,12.9
27/12/23,11.4,16.6,7.9,81.2,94,67,1022.7,1027,1019.4,0,6.8,W,27.4
28/12/23,10,14.6,6.7,85.2,90,75,1026.4,1028.9,1023.5,0,1.8,SSW,8
29/12/23,9,12.9,6.3,90.4,95,78,1021.3,1023.5,1019.7,0.4,2,E,12.9
30/12/23,8.4,12.4,5.6,90.3,96,76,1019.8,1021.4,1018.7,0.2,2,ESE,11.3
31/12/23,9.5,12.4,7.1,84,92,70,1019.4,1021,1018.2,0.2,1.7,SW,9.7
